序号,舆情分类,问题简述,问题细分,备注,父记录
,体验需求类,AVM转向随动,,,
,体验需求类,D或R挡时尾门限制开启,,,
,体验需求类,座椅建议,座椅记忆弹窗需自动退出,,
,体验需求类,车机智能化,,,
,体验需求类,新增更多APP,,已终止,
,体验需求类,车主手机号更改流程,,,
,体验需求类,座椅建议,副驾座椅记忆,,
,体验需求类,硬件升级,8155升级8295,,
,体验需求类,充电建议,充电时可以显示电池温度,,
,体验需求类,车外声浪模拟,,,
,体验需求类,电池温度显示,,,
,体验需求类,充电建议,车机充电站推送多选项,,
,体验需求类,智驾建议,无图UNP,,
,体验需求类,智驾建议,限速标牌准确识别,,
,体验需求类,智驾建议,智驾提升优化,,
,体验需求类,智驾建议,导航定位飘移优化,,
,体验需求类,更多语音功能,免唤醒词，一句直达,,
,体验需求类,AEB优化,AEB紧急避让,,
,体验需求类,钥匙建议,通过钥匙识别不同用户登录车机账号,,
,体验需求类,自定义设置,自定义快捷按钮增加成4个,,
,体验需求类,增加软开关,增加保持悬架高度软开关,,
,体验需求类,无网络锁车提醒,,,
,体验需求类,地图导航优化,堵车路线提醒,,
,体验需求类,车辆远程启动,,,
,体验需求类,充电建议,简化车机预约通道,,
,体验需求类,行车记录仪需求,优化行车记录仪画质,,
,体验需求类,地图导航优化,语音导航准确性,,
,体验需求类,优化360影像画质,,,
,体验需求类,悬架软硬调节,,,
,体验需求类,雷达灵敏度提升,,,
,体验需求类,充电建议,充电器用不用锁车,,
,体验需求类,可设置多个固定时段预约出行,,,
,体验需求类,AEB优化,AEB灵敏度可选,,
,体验需求类,自适应巡航优化,,,
,体验需求类,锁车后视镜折叠可选择,,,
,体验需求类,行车里程及能耗可以固定显示,,,
,体验需求类,语音助手不能切换电台,,,
,体验需求类,自定义设置,动能回收自定义,,
,体验需求类,地图优化,,,
,体验需求类,手机APP建议,APP可显示充电速率,,
,体验需求类,图标优先级设置,,,
,体验需求类,OTA下载建议,OTA后保持原有功能记忆,,
,体验需求类,音响系统优化,,,
,体验需求类,增加模式,颠簸路况特殊悬挂模式,,
,体验需求类,收音机显示优化,,,
,体验需求类,钥匙建议,2把实体钥匙,,
,体验需求类,钥匙建议,钥匙匹配座椅记忆,,
,体验需求类,疲劳警告过于频繁（海外）,,,
,体验需求类,充电建议,充电慢,,
,体验需求类,续航里程短,续航里程短,,
,体验需求类,亚马逊音乐APP不稳定,,,
,体验需求类,悬架快捷键,,,
,体验需求类,泊车功能优化,远程停车,,
,体验需求类,前后视摄像头切换,,,
,体验需求类,舒适驻车异常,,,
,体验需求类,打了转向灯变道但LKA依然报警,,,
,体验需求类,地图导航优化,全导航模式优化,,
,体验需求类,窄路辅助,,,
,体验需求类,测试摄像头报警,,,
,体验需求类,AEB优化,AEB关闭记忆,,
,体验需求类,谷歌地图规划充电（海外）,,,
,体验需求类,充电建议,可查询超充站,,
,体验需求类,使用拖车钩可以开启HWA,,,
,体验需求类,手机APP建议,APP控制充电口开启,,
,体验需求类,支持CarPlay  ultra,,,
,体验需求类,充电地图优化,,,
,体验需求类,地图导航优化,导航整条线路预览,,
,体验需求类,充电启动不落锁,,,
,体验需求类,PSD更多功能,PSD屏可调节音量,,
,体验需求类,自动识别驾驶员,,,
,体验需求类,后排屏幕娱乐功能,,,
,体验需求类,手机APP建议,APP纯净模式,,
,体验需求类,智驾建议,增大智驾提示音,,
,体验需求类,加速包,,,
,体验需求类,延长录像时间,,,
,体验需求类,活体检测,,,
,体验需求类,电动门开关显示优化,,,
,体验需求类,锁车后视镜关闭,,,
,体验需求类,手机APP建议,APP寻找充电桩优化（海外）,,
,体验需求类,发出语音指令时，车内音乐暂停或降低音量,,,
,体验需求类,方向盘按键支持收藏电台切换,,,
,体验需求类,切换驾驶模式或启动座椅按摩，恢复carplay界面,,,
,体验需求类,代步车服务,,,
,体验需求类,AEB优化,AEB选择关闭记忆（泰国）,,
,体验需求类,打转向灯显示对应侧视频（海外））,,,
,体验需求类,驾驶模式记忆（海外）,,,
,体验需求类,AEB优化,AEB紧急制动突兀感(海外）,,
,体验需求类,标称续航和实际续航可选,,,
,体验需求类,ERMD截屏功能,,,
,体验需求类,车外使用语音可以打开车窗,,,
,体验需求类,Eletre EQ调节（海外）,,,
,体验需求类,过减速带时往前窜,,,
,体验需求类,360报警音可关闭,360报警音可关闭,,
,体验需求类,记忆泊车,记忆泊车,,
,体验需求类,OTA下载建议,OTA下载进度可见,,
,体验需求类,地图导航优化,导航静音记忆,,
,体验需求类,赛道模式VTC可调（海外）,,,
,体验需求类,倒车功能建议,ERMD倒车下翻,,
,体验需求类,RAS平行车手,,,
,体验需求类,电子外后视镜折叠（海外）,,,
,体验需求类,Android Auto功能（海外）,,,
,体验需求类,限速偏移,,,
,体验需求类,下线车辆清除路线信息,,,
,体验需求类,Emeya EQ调节(海外）,,,
,体验需求类,屏幕亮度自调节（海外）,,,
,体验需求类,打开车门媒体音自动降低,,,
,体验需求类,驻车不下电,,,
,体验需求类,HUD简洁模式,,,
,体验需求类,网络浏览器,,,
,体验需求类,遥控直进直出（海外）,,,
,体验需求类,倒车功能建议,倒车影像手动选择视角,,
,体验需求类,转向灯自动关闭,,,
,体验需求类,下降地锁功能常亮,,,
,体验需求类,尾翼防夹,,,
,体验需求类,地图导航优化,车机高德优化,,
,体验需求类,手机APP建议,APP可控制座椅,,
,体验需求类,预约出行温度调节（海外）,,,
,体验需求类,测试摄像头报警（海外）,,,
,体验需求类,车辆仪表颜色调节（海外）,,,
,体验需求类,地图导航优化,导航路线规划优化（海外）,,
,体验需求类,地图导航优化,全导航模式优化(海外）,,
,体验需求类,车道保持默认关闭（海外）,,,
,体验需求类,增加模式,儿童看护模式（海外）,,
,体验需求类,地图导航优化,绿灯读秒,,
,体验需求类,尾灯常亮,,,
,体验需求类,提高赛道覆盖率,,,
尾翼选装,体验需求类,内外饰硬件升级,尾翼选装,,
,体验需求类,尾翼防磕碰,,,
,体验需求类,哨兵模式需求增加项,哨兵耗电高,,
,体验需求类,泊车功能优化,自动泊车时折叠后视镜,,
,体验需求类,ERMD折叠（海外）,,,
,体验需求类,增加防侧倾系统加装项目,,,
无线快充,体验需求类,内外饰硬件升级,无线快充,,
,体验需求类,充电桩品牌不能筛选（海外）,,,
,体验需求类,CSD屏启动慢（海外）,,,
,体验需求类,驻车舒享关闭所有灯源,,,
,体验需求类,更多语音功能,语音识别能力差,,
,体验需求类,变道辅助设置不记忆（海外）,,,
,体验需求类,影像全车速下显示,,,
,体验需求类,钥匙建议,显示实体钥匙电量,,
,体验需求类,抬头显示新增autohold标识,,,
,体验需求类,座椅侧翼记忆功能,,,
,体验需求类,手机APP建议,APP定时开空调,,
,体验需求类,手机APP建议,APP统计充电信息,,
,体验需求类,手机APP建议,APP可筛选高速服务区,,
,体验需求类,驾驶员偏好建议关联更多设置（海外）,,,
,体验需求类,开启拖车模式后不能使用HWA（海外）,,,
,体验需求类,全屏视频（海外）,,,
车辆物流状态实时查询,体验需求类,手机APP建议,车辆物流状态实时查询,,
,体验需求类,钥匙建议,根据数字钥匙自动识别驾驶员并调整相应设置(海外）,,
,体验需求类,手动滑动停车,,,
,体验需求类,取消Carplay全屏显示（海外）,,,
,体验需求类,后排屏幕娱乐功能（海外）,,,
,体验需求类,声音分区,,,
,体验需求类,手机APP建议,APP控制后备箱门开启,,
,体验需求类,接管声音可调,,,
,体验需求类,车模颜色可更改（海外）,,,
,体验需求类,疲劳警告过于频繁,,,
,体验需求类,音响低音不足（海外）,,,
,体验需求类,车机音量调节位置不方便,,,
,体验需求类,后排屏防误触（海外）,,,
,体验需求类,离车落锁考虑车内乘员（海外）,,,
,体验需求类,后排座椅放倒后引发安全带未系报警（海外）,,,
,体验需求类,电池温度显示（海外）,,,
,体验需求类,倒车功能建议,后视镜倒车下翻幅度过大（海外）,,
,体验需求类,自定义设置,方向盘按键自定义（海外）,,
,体验需求类,Carplay界面覆盖了功能菜单（海外）,,,
,体验需求类,LKA车道偏离报警过早（海外）,,,
,体验需求类,Android Auto屏幕覆盖其它功能（海外）,,,
,体验需求类,语音搜索歌曲（海外）,,,
,体验需求类,增加模式,单踏板模式（海外）,,
,体验需求类,音量随速补偿量过多（海外）,,,
,体验需求类,地图导航优化,导航时顶部功能按钮可见性差（海外）,,
,体验需求类,地图导航优化,导航或充电地图中可以筛选800V（海外）,,
,体验需求类,后备箱盖打开防碰撞（海外）,,,
QQ音乐背景,体验需求类,QQ音乐优化,QQ音乐背景,,
,体验需求类,增加模式,儿童看护模式,,
,体验需求类,USB接口充电慢(海外）,,,
,体验需求类,驾驶员自动识别并调整相应设置(海外）,,,
QQ音乐随机播放停留在第一页,体验需求类,QQ音乐优化,QQ音乐随机播放停留在第一页,,
,体验需求类,电台播放记忆,,,
,体验需求类,电动门开启力度过大,,,
,体验需求类,同时预约多个时间段充电（海外）,,,
,体验需求类,更多品牌手机数字钥匙,安卓手表钥匙,,
,体验需求类,座椅和方向盘自动加热,,,
,体验需求类,哨兵模式需求增加项,哨兵模式视角可选择放大,,
,体验需求类,车机易误触打开后备箱,,,
,体验需求类,预约出行温度调节,,,
,体验需求类,显示障碍物距离,,,
,体验需求类,行李区应急开启盖板用手难打开,,,
,体验需求类,添加声纹才能唤醒,,,
,体验需求类,1.7.0Beta语音识别显示字体过小,,,
,体验需求类,底盘升降可视化,,,
,体验需求类,地图导航优化,导航沿途规划充电（海外）,,
,体验需求类,室外后视镜和后风挡加热自动激活（海外）,,,
,体验需求类,空调硬开关下按实现风速与温度切换（海外）,,,
,体验需求类,三方充电站即插即充（海外）,,,
,体验需求类,车道控制和速度控制记忆设置（海外）,,,
,体验需求类,超速报警音可关闭（海外）,,,
,体验需求类,CSD车模颜色与实际不相符（海外）,,,
,体验需求类,蓝牙通话时行程信息不可调出（海外）,,,
,体验需求类,调速时不能以1英里为变化单位（海外）,,,
,体验需求类,Carplay分辨率差（海外）,,,
,体验需求类,新增档位功能,P挡提示音,,
,体验需求类,按座椅按键启动按摩不要弹窗,,,
,体验需求类,主驾仪表自选UI,,,
,体验需求类,CSD操作尾翼时误将尾门打开,,,
,体验需求类,直进直出功能多机型支持,,,
,体验需求类,AR HUD优化,,,
,体验需求类,车机可自建歌单,,,
,体验需求类,热点频段可选,,,
,体验需求类,Eletre电动门,,,
,体验需求类,日间行车贯穿尾灯,,,
,体验需求类,新增档位功能,挂D挡后激活AVM,,
,体验需求类,续航里程焦虑,,,
,体验需求类,充电速度显示增加功率KW可选,,,
,体验需求类,侧面障碍物报警,,,
,体验需求类,触摸门把手自动关门并闭锁,,,
,体验需求类,新增档位功能,R挡时音乐降音,,
,体验需求类,新增档位功能,P挡后呈现门窗操作窗口,,
,体验需求类,车机显示的电耗与实际不符,,,
,体验需求类,PSD更多功能,歌词一直残留在PSD，不能回到主界面,,
,体验需求类,行车记录仪需求,行车记录仪打开后可以记忆,,
,体验需求类,音乐不支持杜比时，自动切换到最高音质,,,
,体验需求类,U盘文件目录不显示,,,
,体验需求类,增加RAS平行车手驾驶距离,,,
,体验需求类,快捷指令,,,
,体验需求类,新增档位功能,挂D档时不显示地图,,
,体验需求类,auto hold功能优化,,,
,体验需求类,流媒体后视镜视觉死角,,,
,体验需求类,新增档位功能,挂P档自动弹出门把手,,
,体验需求类,Emira车型carplay,,,
,体验需求类,停车后雷达停止报警,,,
,体验需求类,尾翼调节角度选择,,,
,体验需求类,手势操作,,,
,体验需求类,声音标定问题（海外）,,,
,体验需求类,结合路况动能回收等级实时变化,,,
,体验需求类,语音控制carplay（海外）,,,
,体验需求类,地图导航优化,手机导航路线传送至车机（海外）,,
,体验需求类,方控调节音量调节焦点不固定,,,
,体验需求类,手机APP建议,手机app座椅加热功能必须等待上个操作完成（海外）,,
,体验需求类,预约出行使用充电桩预热,,,
,体验需求类,自定义设置,自定义查询能耗曲线（海外）,,
,体验需求类,不支持运通信用卡绑定（海外）,,,
,体验需求类,智驾建议,自动驾驶提示接管车辆与方向盘未握提醒分不清,,
,体验需求类,EMEYA HUD不清晰,,,
,体验需求类,开门后媒体音量变小,,,
,体验需求类,模拟声浪（海外）,,,
,体验需求类,新增可下载 Lotus APP国家（海外）,,,
,体验需求类,歌词位置可固定,,,
,体验需求类,悬架高度记忆（海外）,,,
,体验需求类,屏幕亮度手动调整,,,
,体验需求类,转向灯声音廉价（海外）,,,
,体验需求类,PSD更多功能,PSD音量控制（海外）,,
,体验需求类,收音机收藏夹滚动播放（海外）,,,
,体验需求类,离车落锁考虑车内乘员,,,
,体验需求类,使用牵引杆时，HWA不工作(海外）,,,
,体验需求类,哨兵模式需求增加项,白天模式视觉差，颜色单调饱满度不足,,
,体验需求类,模拟声浪外放,,,
,体验需求类,自定义设置,解锁距离自定义,,
,体验需求类,两步解锁适用靠近解锁,,,
,体验需求类,远程Ready启动,,,
,体验需求类,充电历史查询（海外）,,,
,体验需求类,能量回收挡位设置不记忆（海外）,,,
,体验需求类,手机APP建议,手机APP车内温度设置响应时间长（海外）,,
,体验需求类,车模黄色背景夜间刺眼（海外）,,,
,体验需求类,离车落锁（海外）,,,
,体验需求类,内外饰硬件升级,仪表台区域反光,,
,体验需求类,Emeya车型Carplay,,,
,体验需求类,哨兵模式需求增加项,哨兵模式畸变,,
,体验需求类,Carplay(海外),,,
,体验需求类,HUD不跟随系统设置成miles,,,
,体验需求类,显示贴近实际的续航（海外）,,,
,体验需求类,开门后媒体音量变小（海外）,,,
,体验需求类,预约定时充电（海外）,,,
,体验需求类,行车记录仪需求,行车记录仪（海外）,,
,体验需求类,车机端蔚来超充桩搜索,,,
,体验需求类,自定义设置,方向盘按键自定义,,
,体验需求类,增加更高品质音质,,,
,体验需求类,手机实时查看车辆周边环境（海外）,,,
,体验需求类,充电前可自主进行电池包加热（海外）,,,
,体验需求类,充电前可自主进行电池包加热,,,
,体验需求类,窄位提升,,,
,体验需求类,车道偏离报警过于频繁（海外）,,,
,体验需求类,钥匙建议,三角钥匙馈电提醒（海外）,,
,体验需求类,通过设定限速值自动限速（海外）,,,
,体验需求类,手机APP建议,手机APP远程更改慢充速度（海外）,,
,体验需求类,LKA及速度警告快捷关闭（海外）,,,
,体验需求类,倒车功能建议,倒车影像不清晰,,
,体验需求类,地图导航优化,导航沿途规划权益充电,,
,体验需求类,电吸门及门把手防夹,,,
,体验需求类,语音功能支持GPT,,,
,体验需求类,倒车功能建议,倒车AEB,,
,体验需求类,哨兵模式需求增加项,哨兵模式手机app查看,,
,体验需求类,模拟声浪,,,
,体验需求类,遥控直进直出,,,
,体验需求类,离车落锁,,,
,体验需求类,钥匙建议,钥匙耗电快,,
,体验需求类,更多品牌手机数字钥匙,华为/安卓手机数字钥匙（海外）,,
,体验需求类,取消自动充电至30%（海外）,,,
,体验需求类,倒车功能建议,倒车影像可选视角（含轮毂视角）,,
,体验需求类,充电建议,预约定时充电,,
,体验需求类,网络浏览器（海外）,,,
,体验需求类,增加模式,宠物模式（海外）,,
,体验需求类,增加模式,哨兵模式（海外）,,
,体验需求类,充电功率可调整（海外）,,,
,体验需求类,钥匙建议,三角钥匙耗电快（海外）,,
,体验需求类,充电枪插在车上，充电口盖会合盖(海外）,,,
,体验需求类,手机APP建议,充电界面显示在APP首页,,
,体验需求类,手机APP建议,APP车模颜色自定义,,
,体验需求类,手机APP建议,APP内车模车牌隐藏设置,,
,体验需求类,手机APP建议,车机APP远程启动,,
,体验需求类,手机APP建议,积分过期提醒,,
,体验需求类,手机APP建议,APP开启空调优化,,
,体验需求类,驻车舒享功能建议,,,
,体验需求类,硬件升级,防倾杆后期可加装,,
,体验需求类,充电电流设置不记忆,,,
,体验需求类,智驾建议,可识别带时间限速标识,,
,体验需求类,行车全景记录仪,行车全景记录仪,,
,体验需求类,全场景360影像功能,,,
,体验需求类,手机APP建议,App支持多国语言,,
,体验需求类,哨兵模式需求增加项,哨兵模式可记忆开关状态,,
,体验需求类,平行车手网络平稳,,,
,体验需求类,充电建议,新增站点,,
,体验需求类,手机APP建议,APP远程关闭驻车舒享,,
,体验需求类,增加模式,代驾模式,,
,体验需求类,哨兵模式需求增加项,哨兵模式耗电高,,
,体验需求类,更多语音功能,新增音色,,
,体验需求类,自定义设置,自定义按摩时长,,
,体验需求类,自定义设置,屏幕亮度自调节,完成,
,体验需求类,自定义设置,抬头显示项目自定义,,
,体验需求类,增加软开关,雷达报警软开关,,
,体验需求类,增加软开关,增加AEB软开关,,
,体验需求类,增加软开关,激光雷达软开关,,
,体验需求类,空调建议,空调一档风量太大,,
,体验需求类,泊车功能优化,向左/向右泊出,,
,体验需求类,倒车功能建议,倒车紧急制动,,
,体验需求类,智驾建议,尾灯体现智驾模式,,
,体验需求类,地图导航优化,导航屏幕不居中,,
,服务类,订单取消/退款,自身原因取消订单,经济、转移订单等情况,
,服务类,订单取消/退款,取消订单原因不明确,,
,服务类,订单取消/退款,因质量问题要求退车,,
,服务类,订单取消/退款,因权益问题要求退定,,
,服务类,订单取消/退款,因配置问题要求退定,,
,服务类,订单取消/退款,询问催促退款进度,,
,服务类,闪充机制问题,闪充取消预约抱怨,,
,服务类,闪充机制问题,免费闪充权益升级导致部分车主不满,,
,服务类,闪充机制问题,闪充预约机制不合理,,
,服务类,闪充机制问题,超时占位费问题,,
,服务类,试驾体验不良,试驾路线拥堵,,
,服务类,试驾体验不良,试驾路程/时间短,,
,服务类,试驾体验不良,试驾路线与预期不符,,
,服务类,试驾体验不良,试驾讲解不主动/专业,,
,服务类,试驾体验不良,试驾专员驾驶水平差,,
,服务类,销售服务问题,保险服务问题,,
,服务类,销售服务问题,销售服务响应不及时,,
,服务类,销售服务问题,销售服务差,介绍、接待、交流等,
,服务类,销售服务问题,交付体验差,,
,服务类,售后服务问题,缺少售后服务,,
,服务类,售后服务问题,售后服务响应不及时,,
,服务类,售后服务问题,维修/备件时间长,,
,服务类,售后服务问题,维保服务,,
,服务类,售后服务问题,保养做完后车辆及APP仍然提示保养,,
,服务类,交付问题,整车交付时间不明确,,
,服务类,交付问题,整车交付时间长,,
,服务类,交付问题,交付资料/配件不全,,
,服务类,交付问题,整车交付状态不良,,
,服务类,销售承诺未能兑现,相关权益未兑现,智驾包、家充桩等,
,服务类,销售承诺未能兑现,承诺交付日期无法交车,,
,服务类,积分发放问题,积分过期,,
,服务类,积分发放问题,积分补偿,,
,服务类,积分发放问题,积分未到账,,
,产品质量类,AD4问题,AEB触发异常,,
,产品质量类,AD4问题,辅助驾驶异常,,
,产品质量类,AD4问题,泊车异常,,
,产品质量类,AD4问题,雷达异常,,
,产品质量类,电子电器问题,影像异常问题,,
,产品质量类,AD4问题,导航异常,,
,产品质量类,AD4问题,疲劳警告过于频繁,,
,产品质量类,AD4问题,ADView界面黑屏,大模型,
,产品质量类,座舱问题,行车日志里程和平均车速不准确,,
,产品质量类,座舱问题,音乐APP自发切换,,
,产品质量类,座舱问题,收音机工作异常,,
,产品质量类,座舱问题,文言错误或语音错误,,
,产品质量类,座舱问题,CSD/HUD屏异常问题,去除,
,产品质量类,座舱问题,Android Auto连接不良,,
,产品质量类,座舱问题,座椅问题,,
,产品质量类,座舱问题,仪表问题,,
,产品质量类,座舱问题,蓝牙异常,,
,产品质量类,座舱问题,语音异常,,
,产品质量类,座舱问题,Carplay异常,,
,产品质量类,座舱问题,车机异常,车机黑卡死,
,产品质量类,座舱问题,网络问题,,
,产品质量类,座舱问题,导航内置充电桩信息错误,,
,产品质量类,座舱问题,消息问题,,
,产品质量类,异响问题,刹车异响,,
,产品质量类,异响问题,悬架异响,,
,产品质量类,异响问题,启动时异响,,
,产品质量类,异响问题,底盘异响,,
,产品质量类,异响问题,转弯时异响,,
,产品质量类,异响问题,方向机异响,,
,产品质量类,异响问题,半轴异响,,
,产品质量类,异响问题,车内中控异响,,
,产品质量类,异响问题,换挡杆异响,,
,产品质量类,异响问题,座椅调节异响,,
,产品质量类,异响问题,门板异响,,
,产品质量类,异响问题,车辆内饰异响,,
,产品质量类,异响问题,方向盘异响,,
,产品质量类,异响问题,尾翼开关异响,,
,产品质量类,异响问题,雨刮异响,,
,产品质量类,异响问题,车轮异响,,
,产品质量类,异响问题,行车异响,,
,产品质量类,异响问题,空调异响,,
,产品质量类,异响问题,尾门异响,,
,产品质量类,异响问题,压缩机异响,,
,产品质量类,异响问题,车门开启异响,,
,产品质量类,异响问题,轴承异响,,
,产品质量类,异响问题,主动稳定杆异响,,
,产品质量类,故障告警,动力系统故障,,
,产品质量类,动力异常,动力受限,,
,产品质量类,车门问题,车门关闭状态与实际不一致,,
,产品质量类,车门问题,主驾车门把手无法拉开,,
,产品质量类,车门问题,车门难关,,
,产品质量类,车门问题,后备箱降低功能异常,,
,产品质量类,车门问题,后备箱异常,,
,产品质量类,车门问题,门把手卡滞,,
,产品质量类,车门问题,脚踢开门成功率低,,
,产品质量类,底盘问题,悬架异常,,
,产品质量类,底盘问题,行驶过程中悬架高度自行调整,,
,产品质量类,底盘问题,刹车制动失效,,
,产品质量类,故障告警,灯光告警,,
,产品质量类,故障告警,ESC故障报警,,
,产品质量类,故障告警,TPMS故障,,
